School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,Total,113883060,122397715,128266291,130763067,130822117,133719922,135470561,135323683,133694932,135316946
Primary School,India,Boy,NA,65084379,68360423,69674543,69789220,71087421,71089547,70604246,69749314,70468427
Primary School,India,Girl,NA,57313336,59905868,61088524,61032897,62632501,64381014,64719437,63945618,64848519
Primary School,Andaman and Nicobar Islands,Total,40022,39625,40388,40274,37601,38174,36637,35192,34242,33416
Primary School,Andaman and Nicobar Islands,Boy,NA,20603,20981,20852,19303,19582,18811,17996,17553,17114
Primary School,Andaman and Nicobar Islands,Girl,NA,19022,19407,19422,18298,18592,17826,17196,16689,16302
Primary School,Andhra Pradesh,Total,8626241,8615608,7975659,7692411,7391922,7363237,7173537,7122361,7137291,7124940
Primary School,Andhra Pradesh,Boy,NA,4364178,4044148,3894649,3742698,3736789,3640320,3607168,3626594,3633364
Primary School,Andhra Pradesh,Girl,NA,4251430,3931511,3797762,3649224,3626448,3533217,3515193,3510697,3491576
Primary School,Arunachal Pradesh,Total,162495,171792,180253,184673,195590,200803,199478,209513,216845,225979
Primary School,Arunachal Pradesh,Boy,NA,93529,97342,100064,105636,107717,106223,109614,112473,117254
Primary School,Arunachal Pradesh,Girl,NA,78263,82911,84609,89954,93086,93255,99899,104372,108725
Primary School,Assam,Total,4080610,3128986,3232547,3510665,3141277,3245754,3430940,3430940,2922714,2922714
Primary School,Assam,Boy,NA,1620771,1648903,1794039,1591771,1635272,1741545,1741545,1462640,1462640
Primary School,Assam,Girl,NA,1508215,1583644,1716626,1549506,1610482,1689395,1689395,1460074,1460074
Primary School,Bihar,Total,7809112,9413646,9471186,10042119,10525321,11503960,12412315,13201001,13907798,14934274
Primary School,Bihar,Boy,NA,5413929,5477856,5938345,6186536,6642044,7026049,7426620,7756205,8076775
Primary School,Bihar,Girl,NA,3999717,3993330,4103774,4338785,4861916,5386266,5774381,6151593,6857499
Primary School,Chandigarh,Total,58050,65483,66034,62908,51402,75276,79800,84863,83759,85988
Primary School,Chandigarh,Boy,NA,35828,36097,34233,28094,42439,44019,46559,45407,46186
Primary School,Chandigarh,Girl,NA,29655,29937,28675,23308,32837,35781,38304,38352,39802
Primary School,Chhattisgarh,Total,2972595,2751573,3397795,3405502,3113399,3195546,3234343,3621334,3234910,3231614
Primary School,Chhattisgarh,Boy,NA,1428168,1766331,1776950,1621220,1663506,1683745,1875810,1678226,1677674
Primary School,Chhattisgarh,Girl,NA,1323405,1631464,1628552,1492179,1532040,1550598,1745524,1556684,1553940
Primary School,Dadra and Nagar Haveli,Total,28604,32476,32912,33624,35915,38059,39979,38050,39780,40032
Primary School,Dadra and Nagar Haveli,Boy,NA,17649,17830,18085,19043,19832,20785,19763,20739,20881
Primary School,Dadra and Nagar Haveli,Girl,NA,14827,15082,15539,16872,18227,19194,18287,19041,19151
Primary School,Daman and Diu,Total,15877,16258,16222,16321,16204,16403,16313,21137,17829,17142
Primary School,Daman and Diu,Boy,NA,8590,8579,8696,8649,8800,8763,11490,9637,9148
Primary School,Daman and Diu,Girl,NA,7668,7643,7625,7555,7603,7550,9647,8192,7994
Primary School,Delhi,Total,1394230,1425508,1442259,1460714,1786811,1651019,1674560,1685513,1699939,1731123
Primary School,Delhi,Boy,NA,752471,772425,744712,937711,882968,896591,897235,904651,920149
Primary School,Delhi,Girl,NA,673037,669834,716002,849100,768051,777969,788278,795288,810974
Primary School,Goa,Total,120066,111926,107875,106828,104512,114922,123093,124754,127281,126909
Primary School,Goa,Boy,NA,58416,56577,55713,54901,60351,64250,65240,66969,66380
Primary School,Goa,Girl,NA,53510,51298,51115,49611,54571,58843,59514,60312,60529
Primary School,Gujarat,Total,6494625,6335398,6551770,6553022,6557022,6560923,6687859,6559964,6582139,6582139
Primary School,Gujarat,Boy,NA,3433573,3601055,3702105,3703914,3706139,3777926,3390061,3515393,3515393
Primary School,Gujarat,Girl,NA,2901825,2950715,2850917,2853108,2854784,2909933,3169903,3066746,3066746
Primary School,Haryana,Total,1969544,2124184,2010659,2073939,1997491,2197296,2233720,2203009,2186379,2284255
Primary School,Haryana,Boy,NA,1154838,1070770,1097631,1066744,1172867,1185645,1118172,1183564,1206621
Primary School,Haryana,Girl,NA,969346,939889,976308,930747,1024429,1048075,1084837,1002815,1077634
Primary School,Himachal Pradesh,Total,718310,720842,666938,670807,660960,676245,659579,646879,623198,625518
Primary School,Himachal Pradesh,Boy,NA,376554,346813,350760,346208,356461,347637,340561,327272,327804
Primary School,Himachal Pradesh,Girl,NA,344288,320125,320047,314752,319784,311942,306318,295926,297714
Primary School,Jammu and Kashmir,Total,1059305,1090939,950296,969479,1134528,1134528,1134528,1183401,1274874,1274874
Primary School,Jammu and Kashmir,Boy,NA,597470,516063,504792,602094,602094,602094,620334,662907,662907
Primary School,Jammu and Kashmir,Girl,NA,493469,434233,464687,532434,532434,532434,563067,611967,611967
Primary School,Jharkhand,Total,2854183,2919790,3140252,3446984,3827742,4064769,5464268,5464268,5168912,5015809
Primary School,Jharkhand,Boy,NA,1627236,1764061,1911035,2088601,2172616,2785633,2785633,2617968,2546408
Primary School,Jharkhand,Girl,NA,1292554,1376191,1535949,1739141,1892153,2678635,2678635,2550944,2469401
Primary School,Karnataka,Total,6516535,6286455,6267825,5883907,5757779,5725006,5596700,5542416,5460043,5414574
Primary School,Karnataka,Boy,NA,3244476,3238145,3040721,2967111,2955183,2885736,2859996,2820488,2801529
Primary School,Karnataka,Girl,NA,3041979,3029680,2843186,2790668,2769823,2710964,2682420,2639555,2613045
Primary School,Kerala,Total,2523879,2496100,2492430,2543422,2545323,2524232,2476329,2414870,2430952,2335544
Primary School,Kerala,Boy,NA,1275926,1273564,1298261,1299638,1287887,1261582,1230789,1238495,1191088
Primary School,Kerala,Girl,NA,1220174,1218866,1245161,1245685,1236345,1214747,1184081,1192457,1144456
Primary School,Lakshadweep,Total,8002,7353,7161,7053,7474,7244,7244,7015,6761,5936
Primary School,Lakshadweep,Boy,NA,4033,3813,3736,3867,3737,3737,3507,3381,3046
Primary School,Lakshadweep,Girl,NA,3320,3348,3317,3607,3507,3507,3508,3380,2890
Primary School,Madhya Pradesh,Total,8265147,7710358,8830733,10351093,11274071,11812968,12045591,11780132,10708571,10657482
Primary School,Madhya Pradesh,Boy,NA,4140536,4804466,5491292,5942435,6219123,6280352,6127662,5556630,5413583
Primary School,Madhya Pradesh,Girl,NA,3569822,4026267,4859801,5331636,5593845,5765239,5652470,5151941,5243899
Primary School,Maharashtra,Total,11528282,10900033,11175756,11385483,11387604,11648450,10358054,10403746,10364831,10382801
Primary School,Maharashtra,Boy,NA,5712842,5829244,5918639,5963688,6167188,5476467,5503324,5484159,5489880
Primary School,Maharashtra,Girl,NA,5187191,5346512,5466844,5423916,5481262,4881587,4900422,4880672,4892921
Primary School,Manipur,Total,298371,356799,339110,348897,360055,369758,371376,371894,371659,368954
Primary School,Manipur,Boy,NA,184559,175410,180660,186689,191717,192064,192296,192153,190448
Primary School,Manipur,Girl,NA,172240,163700,168237,173366,178041,179312,179598,179506,178506
Primary School,Meghalaya,Total,327132,391730,360907,467955,508205,563708,564713,508148,508298,515054
Primary School,Meghalaya,Boy,NA,193920,180413,232537,258636,287555,288251,258371,254955,257243
Primary School,Meghalaya,Girl,NA,197810,180494,235418,249569,276153,276462,249777,253343,257811
Primary School,Mizoram,Total,134547,134150,127057,123705,162302,150977,154503,142157,142147,150601
Primary School,Mizoram,Boy,NA,69895,66170,64803,83558,77954,80884,74245,74443,78542
Primary School,Mizoram,Girl,NA,64255,60887,58902,78744,73023,73619,67912,67704,72059
Primary School,Nagaland,Total,212454,167972,210410,224246,224715,224715,219804,219804,219804,219804
Primary School,Nagaland,Boy,NA,88165,109752,117054,117337,117337,113801,113801,113801,113801
Primary School,Nagaland,Girl,NA,79807,100658,107192,107378,107378,106003,106003,106003,106003
Primary School,Odisha,Total,4769000,4509693,4918067,5218568,4343793,4485315,4515307,4582202,4493299,4458178
Primary School,Odisha,Boy,NA,2377943,2592488,2718222,2242738,2347078,2318229,2349164,2308957,2291043
Primary School,Odisha,Girl,NA,2131750,2325579,2500346,2101055,2138237,2197078,2233038,2184342,2167135
Primary School,Puducherry,Total,101348,97177,102021,103999,106069,110866,111174,111688,111587,112032
Primary School,Puducherry,Boy,NA,50115,52859,53693,54480,56771,57255,57445,57056,57295
Primary School,Puducherry,Girl,NA,47062,49162,50306,51589,54095,53919,54243,54531,54737
Primary School,Punjab,Total,2073388,1890013,1979294,1901408,1872162,1922553,2274000,2452705,1853842,2503839
Primary School,Punjab,Boy,NA,1000055,1050832,1010079,999490,1021123,1219632,1368871,1014495,1394959
Primary School,Punjab,Girl,NA,889958,928462,891329,872672,901430,1054368,1083834,839347,1108880
Primary School,Rajasthan,Total,7932456,7846501,9479755,9329792,9411874,9496489,9061113,8955966,8798956,8168617
Primary School,Rajasthan,Boy,NA,4310352,5205025,5063707,5048860,5086027,4883948,4849763,4727309,4349247
Primary School,Rajasthan,Girl,NA,3536149,4274730,4266085,4363014,4410462,4177165,4106203,4071647,3819370
Primary School,Sikkim,Total,77003,79058,76799,86149,90687,84999,82992,81366,81172,81172
Primary School,Sikkim,Boy,NA,39337,38573,43337,46010,43055,42171,41410,41364,41364
Primary School,Sikkim,Girl,NA,39721,38226,42812,44677,41944,40821,39956,39808,39808
Primary School,Tamil Nadu,Total,5673757,6468257,6591113,6403416,6378319,6145971,6047131,6148411,6200456,6110219
Primary School,Tamil Nadu,Boy,NA,3352919,3410465,3321365,3294507,3162388,3122300,3183100,3190190,3140426
Primary School,Tamil Nadu,Girl,NA,3115338,3180648,3082051,3083812,2983583,2924831,2965311,3010266,2969793
Primary School,Tripura,Total,460507,449465,451731,461209,500284,493563,485237,463521,444516,394418
Primary School,Tripura,Boy,NA,234945,235854,240599,261833,257433,250018,237837,228125,201347
Primary School,Tripura,Girl,NA,214520,215877,220610,238451,236130,235219,225684,216391,193071
Primary School,Uttar Pradesh,Total,13378223,22712307,24080867,24579638,25186552,25811922,25832158,26081264,25073905,28835305
Primary School,Uttar Pradesh,Boy,NA,12227344,12964090,13241089,13566790,13900298,13228067,13311148,12779554,14933338
Primary School,Uttar Pradesh,Girl,NA,10484963,11116777,11338549,11619762,11911624,12604091,12770116,12294351,13901967
Primary School,Uttarakhand,Total,1047798,1155717,1164485,1191505,1196510,1202153,1202456,1108276,1100139,1094148
Primary School,Uttarakhand,Boy,NA,596198,601690,616672,616818,614059,617407,571138,567922,567181
Primary School,Uttarakhand,Girl,NA,559519,562795,574833,579692,588094,585049,537138,532217,526967
Primary School,West Bengal,Total,10151362,9774543,10327725,9881352,8930642,8862119,9463730,8315923,10066104,7251542
Primary School,West Bengal,Boy,NA,4977016,5281739,5065416,4711612,4462031,4817610,4196578,5087639,3646369
Primary School,West Bengal,Girl,NA,4797527,5045986,4815936,4219030,4400088,4646120,4119345,4978465,3605173
Upper Primary School,India,Total,44828237,46845207,48746998,51245426,51161047,54476096,57204704,58379723,59581905,62056450
Upper Primary School,India,Boy,NA,26265467,27286103,28503657,28361812,29853548,31050441,31368471,31734745,32807915
Upper Primary School,India,Girl,NA,20579740,21460895,22741769,22799235,24622548,26154263,27011252,27847160,29248535
Upper Primary School,Andaman and Nicobar Islands,Total,21692,21835,22448,23429,22769,22815,22448,22647,22323,21690
Upper Primary School,Andaman and Nicobar Islands,Boy,NA,11545,11938,12442,12049,12046,11769,11888,11618,11207
Upper Primary School,Andaman and Nicobar Islands,Girl,NA,10290,10510,10987,10720,10769,10679,10759,10705,10483
Upper Primary School,Andhra Pradesh,Total,3089951,3366950,3502469,3643030,3731018,3788665,3786202,3695246,3618763,3643560
Upper Primary School,Andhra Pradesh,Boy,NA,1805755,1863312,1918363,1948417,1962614,1947310,1887552,1842980,1850076
Upper Primary School,Andhra Pradesh,Girl,NA,1561195,1639157,1724667,1782601,1826051,1838892,1807694,1775783,1793484
Upper Primary School,Arunachal Pradesh,Total,53917,58417,57374,59670,64071,66308,73029,76563,78549,81762
Upper Primary School,Arunachal Pradesh,Boy,NA,31560,31183,32698,35075,36104,39506,40881,41397,42135
Upper Primary School,Arunachal Pradesh,Girl,NA,26857,26191,26972,28996,30204,33523,35682,37152,39627
Upper Primary School,Assam,Total,1518648,1058295,1338210,1389755,1381329,1326765,1832345,1363088,1374217,1351662
Upper Primary School,Assam,Boy,NA,551884,712492,737094,733067,698495,943035,678751,682371,676890
Upper Primary School,Assam,Girl,NA,506411,625718,652661,648262,628270,889310,684337,691846,674772
Upper Primary School,Bihar,Total,1913709,1756898,1815562,2208989,2384485,2773186,3297791,3522115,4126665,4880432
Upper Primary School,Bihar,Boy,NA,1143570,1175552,1430687,1511950,1704129,1971897,2065912,2341538,2665776
Upper Primary School,Bihar,Girl,NA,613328,640010,778302,872535,1069057,1325894,1456203,1785127,2214656
Upper Primary School,Chandigarh,Total,36998,40930,39036,37716,26836,40721,44838,48515,49159,50408
Upper Primary School,Chandigarh,Boy,NA,21921,20881,20257,14356,22305,24804,26802,27320,27925
Upper Primary School,Chandigarh,Girl,NA,19009,18155,17459,12480,18416,20034,21713,21839,22483
Upper Primary School,Chhattisgarh,Total,1061631,1146145,1158587,1209994,1195404,1345855,1382248,1430378,1336956,1405827
Upper Primary School,Chhattisgarh,Boy,NA,650179,657586,687761,658223,722219,741271,752971,699921,731960
Upper Primary School,Chhattisgarh,Girl,NA,495966,501001,522233,537181,623636,640977,677407,637035,673867
Upper Primary School,Dadra and Nagar Haveli,Total,9844,11081,11719,11857,12509,13120,14833,13531,17737,19003
Upper Primary School,Dadra and Nagar Haveli,Boy,NA,6889,7207,7192,7555,7835,8699,7695,10007,10325
Upper Primary School,Dadra and Nagar Haveli,Girl,NA,4192,4512,4665,4954,5285,6134,5836,7730,8678
Upper Primary School,Daman and Diu,Total,7777,8374,8120,8160,8778,8743,8420,11768,9118,9142
Upper Primary School,Daman and Diu,Boy,NA,4478,4366,4345,4742,4696,4580,6244,4855,4851
Upper Primary School,Daman and Diu,Girl,NA,3896,3754,3815,4036,4047,3840,5524,4263,4291
Upper Primary School,Delhi,Total,783232,834908,831791,822492,886260,888495,955433,968177,997280,982949
Upper Primary School,Delhi,Boy,NA,444895,438411,422128,466898,468942,509189,521525,540708,530569
Upper Primary School,Delhi,Girl,NA,390013,393380,400364,419362,419553,446244,446652,456572,452380
Upper Primary School,Goa,Total,72653,74555,73465,73446,71570,69105,64782,65689,67187,71880
Upper Primary School,Goa,Boy,NA,39370,38782,38830,38157,37112,34988,35390,36024,38100
Upper Primary School,Goa,Girl,NA,35185,34683,34616,33413,31993,29794,30299,31163,33780
Upper Primary School,Gujarat,Total,2380787,2602609,2453001,2473535,2491631,2532641,2604729,2886469,2890766,2862195
Upper Primary School,Gujarat,Boy,NA,1507636,1514849,1431810,1446384,1471131,1509160,1574167,1599409,1577758
Upper Primary School,Gujarat,Girl,NA,1094973,938152,1041725,1045247,1061510,1095569,1312302,1291357,1284437
Upper Primary School,Haryana,Total,988889,1099410,1089747,1184814,1159836,1243734,1163643,1113021,1190063,1249777
Upper Primary School,Haryana,Boy,NA,611170,604498,656396,633189,668616,632088,554134,630566,663676
Upper Primary School,Haryana,Girl,NA,488240,485249,528418,526647,575118,531555,558887,559497,586101
Upper Primary School,Himachal Pradesh,Total,402171,439613,419878,418802,410860,405596,424656,418824,412919,410109
Upper Primary School,Himachal Pradesh,Boy,NA,231185,218773,219699,216202,214310,224073,220829,217996,218537
Upper Primary School,Himachal Pradesh,Girl,NA,208428,201105,199103,194658,191286,200583,197995,194923,191572
Upper Primary School,Jammu and Kashmir,Total,476102,502915,429229,456897,479336,479336,479336,631908,655432,655432
Upper Primary School,Jammu and Kashmir,Boy,NA,285779,238713,253629,270245,270245,270245,335775,348641,348641
Upper Primary School,Jammu and Kashmir,Girl,NA,217136,190516,203268,209091,209091,209091,296133,306791,306791
Upper Primary School,Jharkhand,Total,776449,698085,847119,924259,986383,1141734,1349723,1349723,1693454,1823057
Upper Primary School,Jharkhand,Boy,NA,418192,498959,544507,578850,659866,805909,805909,872114,927927
Upper Primary School,Jharkhand,Girl,NA,279893,348160,379752,407533,481868,543814,543814,821340,895130
Upper Primary School,Karnataka,Total,2756206,2787659,2896719,2946302,2886290,2996642,2996247,2991976,2945159,2967444
Upper Primary School,Karnataka,Boy,NA,1481007,1530949,1549520,1502794,1564940,1554686,1550766,1528585,1536864
Upper Primary School,Karnataka,Girl,NA,1306652,1365770,1396782,1383496,1431702,1441561,1441210,1416574,1430580
Upper Primary School,Kerala,Total,1765699,1704991,1662436,1628030,1601297,1594860,1613855,1626571,1655530,1629159
Upper Primary School,Kerala,Boy,NA,891897,869000,850689,834439,828995,835670,839431,856157,842289
Upper Primary School,Kerala,Girl,NA,813094,793436,777341,766858,765865,778185,787140,799373,786870
Upper Primary School,Lakshadweep,Total,4768,4867,4553,4110,4354,4358,4358,3729,3510,4079
Upper Primary School,Lakshadweep,Boy,NA,2712,2503,2298,2318,2275,2275,1955,1746,1901
Upper Primary School,Lakshadweep,Girl,NA,2155,2050,1812,2036,2083,2083,1774,1764,2178
Upper Primary School,Madhya Pradesh,Total,2687300,3068217,3122698,3826948,4253269,4505506,4679119,4783703,4861869,4764081
Upper Primary School,Madhya Pradesh,Boy,NA,1855784,1864236,2156596,2364654,2481031,2531434,2559644,2555860,2409056
Upper Primary School,Madhya Pradesh,Girl,NA,1212433,1258462,1670352,1888615,2024475,2147685,2224059,2306009,2355025
Upper Primary School,Maharashtra,Total,5724999,5957208,6087790,6188552,5270999,6325891,5398019,5519357,5517029,5695622
Upper Primary School,Maharashtra,Boy,NA,3192121,3236109,3277661,2760422,3288865,2872632,2924110,2931620,3030548
Upper Primary School,Maharashtra,Girl,NA,2765087,2851681,2910891,2510577,3037026,2525387,2595247,2585409,2665074
Upper Primary School,Manipur,Total,126905,124910,132910,137300,141691,146842,147595,147283,146559,148251
Upper Primary School,Manipur,Boy,NA,64218,70210,72315,74725,77437,77617,77467,77081,77640
Upper Primary School,Manipur,Girl,NA,60692,62700,64985,66966,69405,69978,69816,69478,70611
Upper Primary School,Meghalaya,Total,96110,104420,122027,136840,153689,179729,180466,158267,158467,159184
Upper Primary School,Meghalaya,Boy,NA,50017,60854,65594,75386,87696,88078,75568,75625,75259
Upper Primary School,Meghalaya,Girl,NA,54403,61173,71246,78303,92033,92388,82699,82842,83925
Upper Primary School,Mizoram,Total,49572,51349,51096,51514,74332,54332,53071,58749,61675,65006
Upper Primary School,Mizoram,Boy,NA,26210,26112,26301,37790,27849,27148,30356,31991,33745
Upper Primary School,Mizoram,Girl,NA,25139,24984,25213,36542,26483,25923,28393,29684,31261
Upper Primary School,Nagaland,Total,65683,59244,76539,85620,92271,92271,90226,90226,90226,90226
Upper Primary School,Nagaland,Boy,NA,30679,38876,44547,47291,47291,46104,46104,46104,46104
Upper Primary School,Nagaland,Girl,NA,28565,37663,41073,44980,44980,44122,44122,44122,44122
Upper Primary School,Odisha,Total,1505000,1473245,1428256,1840933,1559385,1854103,1958667,2041413,2020896,1963170
Upper Primary School,Odisha,Boy,NA,815766,786434,997910,845081,1001821,1034671,1075305,1054038,1019825
Upper Primary School,Odisha,Girl,NA,657479,641822,843023,714304,852282,923996,966108,966858,943345
Upper Primary School,Puducherry,Total,66257,66712,67258,67096,66421,67560,69423,70886,70588,72425
Upper Primary School,Puducherry,Boy,NA,34753,34952,35018,34737,35308,36184,37068,36313,37510
Upper Primary School,Puducherry,Girl,NA,31959,32306,32078,31684,32252,33239,33818,34275,34915
Upper Primary School,Punjab,Total,992701,1007386,1038388,1042094,1063612,1074147,1080202,1352952,1059856,1332040
Upper Primary School,Punjab,Boy,NA,530196,551187,555492,570997,582416,589484,751336,581294,743764
Upper Primary School,Punjab,Girl,NA,477190,487201,486602,492615,491731,490718,601616,478562,588276
Upper Primary School,Rajasthan,Total,3306503,2513345,2837004,3156811,3360529,3667437,3754045,3880647,3928043,3850002
Upper Primary School,Rajasthan,Boy,NA,1646341,1811621,2003374,2086556,2237452,2250440,2301305,2308038,2213227
Upper Primary School,Rajasthan,Girl,NA,867004,1025383,1153437,1273973,1429985,1503605,1579342,1620005,1636775
Upper Primary School,Sikkim,Total,24622,28083,24802,28683,31983,31119,31366,31237,33175,33175
Upper Primary School,Sikkim,Boy,NA,13611,11551,13529,15109,14671,14507,14323,15150,15150
Upper Primary School,Sikkim,Girl,NA,14472,13251,15154,16874,16448,16859,16914,18025,18025
Upper Primary School,Tamil Nadu,Total,3524036,3517039,3600870,3697858,3633616,3661924,3709961,3730210,3735168,3687045
Upper Primary School,Tamil Nadu,Boy,NA,1828718,1884470,1934301,1893095,1897478,1932515,1943045,1935096,1904692
Upper Primary School,Tamil Nadu,Girl,NA,1688321,1716400,1763557,1740521,1764446,1777446,1787165,1800072,1782353
Upper Primary School,Tripura,Total,165591,180513,186651,187590,197186,204458,205865,219846,219303,215680
Upper Primary School,Tripura,Boy,NA,94965,98674,99196,101065,104719,105504,112135,111489,109716
Upper Primary School,Tripura,Girl,NA,85548,87977,88394,96121,99739,100361,107711,107814,105964
Upper Primary School,Uttar Pradesh,Total,4671768,6553162,6948243,7098022,7271947,7452676,9347607,9498192,9500226,10720593
Upper Primary School,Uttar Pradesh,Boy,NA,3850652,4082817,4168396,4271364,4376159,5158258,5218673,5219366,5830870
Upper Primary School,Uttar Pradesh,Girl,NA,2702510,2865426,2929626,3000583,3076517,4189349,4279519,4280860,4889723
Upper Primary School,Uttarakhand,Total,489440,523383,542742,552252,560882,570723,572895,646782,626216,627972
Upper Primary School,Uttarakhand,Boy,NA,279872,283169,287620,290784,295135,296423,326579,316359,318099
Upper Primary School,Uttarakhand,Girl,NA,243511,259573,264632,270098,275588,276472,320203,309857,309873
Upper Primary School,West Bengal,Total,3210627,3398454,3818261,3622026,3624219,3844699,3807261,3910035,4407822,4512411
Upper Primary School,West Bengal,Boy,NA,1809940,2004877,1945462,1977846,1941345,1918288,1956876,2145368,2235303
Upper Primary School,West Bengal,Girl,NA,1588514,1813384,1676564,1646373,1903354,1888973,1953159,2262454,2277108
